"Name","HouseNumberAndStreet","City","ZipCode","state","country"
"LIT CRMN\NIC TRI",NA,"Seattle",NA,"MA","USA"
"be Seattle",NA,"Seattle",NA,"MA","USA"
"4 Counseling Services for Homosexuals","318 Mal-den Ave","206-329-5820","E","MA","USA"
"‘ Gay Community Center","102 Cherry St","623-3862","206-622-ey 9621","MA","USA"
"Gay Community Social Services","206-329-8180","Seattle",NA,"MA","USA"
"Gay Feminists Coalition","206-782-0381","Seattle",NA,"MA","USA"
"ae Gay Men's Collective","Sherwood Forest","Seattle","1402","MA","USA"
"","Harrison Ave","206-329-8180","E","MA","USA"
"","Gay Student Assoc.","HUB FK-10","Bax 112","MA","USA"
"‘ of Washington (?",NA,"Seattle",NA,"MA","USA"
"Gay Student House","1704 12th Ave","Seattle","206-323-s 4570","MA","USA"
"‘ Gay Women's Alliance & Resource Center","4224","Seattle",NA,"MA","USA"
"to University Ave","NE 206-632-4747 Ex 3","Seattle",NA,"MA","USA"
"- Seattle Counseling Service for Homosexuals 6&",NA,"Seattle",NA,"MA","USA"
"ee Sexual Minorities","1720 16th Ave","Seattle","206-329-Pe 8707","MA","USA"
"_ SEATTLE GAY ALLIANCE","Box 1170","Seattle","98111 206-ae Call for details of program,","MA","USA"
"WASHINGTON (cont.) 4",NA,"Seattle",NA,"MA","USA"
"Stonewall","(4127 Dayton Ave","Seattle","w- 206-634-2798 a","MA","USA"
"WHITMAN HOUSE","4016 37th Ave","206-723-9408","S","MA","USA"
"***Residential Treatment Center Halfway House",NA,"Seattle",NA,"MA","USA"
"for parolees & probationers","""90-day re-entry for ex-offenders & probationers.Also","Seattle",NA,"MA","USA"
"parole programs for inmates in other sta-tes who wish to parole to Washington","they","Seattle",NA,"MA","USA"
"must contact us for application","Group and","Seattle",NA,"MA","USA"
"individual cnslg","job development.""","Seattle",NA,"MA","USA"
"WASILINGTON",NA,"Seattle",NA,"MA","USA"
"Seattle",NA,"Seattle",NA,"MA","USA"
"Adult Book Store","1415 1st Ave.","Seattle",NA,"MA","USA"
"Seattle",NA,"Seattle",NA,"MA","USA"
"Sultan's Cinema","1313 lst.","Seattle",NA,"MA","USA"
"MUSIC SERVICES * MUSIC SERVICES * MUSIC SERVI",NA,"Seattle",NA,"MA","USA"
"2 ah aby By he ak a a a eb hs es a a a a ee ek a i a ae ee ee cl ae in a ee re Be ae ke",NA,"Seattle",NA,"MA","USA"
"Seattle",NA,"Seattle",NA,"MA","USA"
"","ASTOUNDING TRANSVESTITE TALES (see EMPATHY)S$3","Seattle",NA,"MA","USA"
"Columns Northwest","Box 99002","Seattle","98199","MA","USA"
"EMPATHY PRESS","Box 12466","Seattle","98111 206-623-3505","MA","USA"
"***Transvestite publications.",NA,"Seattle",NA,"MA","USA"
"TRANSVESTITE WORLD DIRECTORY (see EMPATHY) S3",NA,"Seattle",NA,"MA","USA"
"WHITMAN House Newsletter (see Part IV).",NA,"Seattle",NA,"MA","USA"
"kee",NA,"Seattle",NA,"MA","USA"
